ra,dec,parallax,source_id,phot_g_mean_mag,bp_rp,ticid,tmag,dist
263.89335998714574,-34.774604376955736,0.32677371435177655,4053342026680609664,11.493981,1.1979561,103020281,10.78,4.939034010067638e-05
264.4056808745542,-34.351805930852514,9.220040214960065,4053378443625714432,6.9631987,0.46932554,105183074,6.71,1.723941097360172e-05
264.74650244015317,-34.48427977077449,14.247230216475707,4053451702973202944,7.303192,0.6500063,106173687,6.94,0.00012194869486614518
263.4842901601401,-34.076959197797315,5.137285379045106,4053609036174338944,7.9356604,0.20277166,101748994,7.83,5.9278579949390036e-05
263.1025662912101,-34.279549992357914,8.144543653769725,4053610715449004032,6.0557775,0.49684763,100701385,5.82,7.480090313960243e-05
263.3879765783103,-33.95228581681338,11.727408021099313,4053625283978073472,9.968542,0.95941925,101747501,9.41,2.4673102059934765e-05
263.97746222980555,-33.849057330578326,1.2152361870798856,4053638654270846464,8.469223,0.22354794,103770205,8.35,6.589254813617387e-05
263.8822135416318,-33.73982125495529,0.2726563765037565,4053643906961589888,8.014092,1.4549656,103137554,7.17,2.44970362877769e-05
263.6588729130506,-33.66399987004477,10.766872595223246,4053659751150780672,8.81159,0.747241,102747691,8.4,0.00011763818041164842
264.48846892001825,-33.40756931099133,11.002956547833193,4053722732555029632,14.4117155,2.537243,105837724,13.14,0.00023655888477898252
264.0421633035051,-33.49462178505358,0.4020051513108961,4053746921812716928,6.4892507,3.5636616,103765591,4.99,8.528040972153892e-05
263.8584951586644,-33.64810010754476,1.6426162245616793,4053750044192944000,6.7764897,4.368871,103138689,5.49,0.00010137787086420424
264.4767289349558,-33.05779877793602,11.26071619433828,4053784270850903296,13.2284565,1.9730854,105833311,12.12,0.00022722088108120939
264.37002724955914,-32.99998375229606,6.773699414717048,4053795953162149120,9.298471,0.65204334,105295580,8.95,2.804043543005844e-05
264.5684961736371,-32.87355800657769,2.618858888468104,4054172978209459968,7.75555,0.103292465,105831038,7.73,4.2122294637510435e-05
264.4249013544137,-32.75140396387321,11.732009844700418,4054178441405287040,13.022201,2.0149775,105298965,11.84,0.00016939078010602993
264.61316501133786,-32.63056316243651,2.094917264852308,4054186485937804928,8.952493,1.3079481,106318578,8.2,6.597574046751389e-05
262.8663961564398,-34.05161047416816,0.49037027453469967,4054371238216109184,7.2791715,3.5546412,163989351,5.88,9.607387618221877e-06
262.9793685807897,-33.728483160903444,1.6835063812580076,4054393812563869056,7.5034194,4.010634,100060291,5.97,3.128633071669721e-05
262.94728750480505,-33.703296320711175,8.373325425165595,4054397042379293568,6.0730624,1.3081813,100060587,5.24,1.1194806237273254e-05
262.5235092103664,-33.716373234164784,0.8840710921653057,4054440816690447872,6.6650023,0.2017026,162981864,6.61,2.7981529945496555e-05
262.82044869362363,-33.34635815530915,7.8359054830156465,4054476890096261376,8.310563,0.37979317,163898014,8.12,5.923434324198142e-05
262.75298465079044,-33.02100466101931,7.544367383806259,4054497304101159552,13.361292,1.9558477,163398147,12.25,0.00011813001972427588
263.79356918820076,-32.970424237117555,3.711742583914001,4054535748325246976,16.078894,2.3000746,103148034,14.93,6.224412974420931e-05
263.6770647143471,-32.58166856369055,-0.8071426887646858,4054618559611164288,5.6765904,0.102396965,102643159,5.63,4.281513957905217e-05
263.79290990162235,-32.249542646646546,7.145612416193858,4054641477556919680,9.828091,0.80764866,103261628,9.36,0.00010893389009096615
